organization,name
b39bae68-1b3e-46b4-aa8a-5900fe8d2b20, Google
2b236b9f-4b3b-442a-a3d8-2b000253854a, HistAI
6f223b39-1574-4778-9ea1-a5ac9d25909e, Microsoft
adbd1864-fd5c-4bc8-9511-d288a691544e, Falcons AI
067443ad-4269-4cac-8b10-deacae0f5621, Deepmind
b7af0a69-8428-48e4-808a-5471d31cb86f, espejelomar
0366e9e4-f9fd-496e-a223-8ea8cb8ced6c, Facebook
03a1d020-3ce7-477a-ba87-e18c0d6b2b10, Qwen_Alibaba Cloud
9906a9e5-8383-4046-9626-bb7a71dab061, THUDM_Tsinghua University
5a0f28c0-37a1-4327-b0fb-73129755280f, Black Forest Labs
d0f45402-4de7-461c-b78e-be96f120ea41, Meta-llama_Meta
43b90664-10d7-491c-be86-8324708c839e, Wan-AI
2a7b1985-83f5-44e2-947f-7149f02e1956, Deepseek AI
4a1fccd2-3799-4974-853f-6de12cbccfaa, Allen AI
beb56973-6108-471f-a5cc-c7611f565a5c, Perplexity AI
65243324-edd7-4679-9a49-2226608e5bcd, Nvidia
151349f2-7258-4d57-b30f-edf2ef5f232d, Cohere for AI
4971485e-8008-4d2c-b698-e8a72f956a02, Chandar Lab
8f2fe14d-ed44-4450-bbdb-578820c35fb7, City 96
06138dc2-61b2-4776-bea3-b43519be43a6, Hexgrad
485ba0bc-80b3-4796-b99e-5463fa12b5b0, Stability AI
fe75b825-432c-4588-9d47-a71a0f5e1f49, Convergence AI
87b38ef7-f592-40a3-85af-1fc81eb8fa23, GSAI ML